Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SmokeTest,,,,2019-04-24 12:21:32,2019-04-24 12:21:45,12.900s,PASSED
,,,,,,,
Test Cases/TestHTTPMethods,,,,2019-04-24 12:21:33,2019-04-24 12:21:42,9.187s,PASSED
"createresponse = sendRequestAndVerify(findTestObject(""RESTAPI/CreateCoupon""))",,,,2019-04-24 12:21:33,2019-04-24 12:21:36,3.076s,PASSED
"updateresponse = sendRequestAndVerify(findTestObject(""RESTAPI/UpdateCoupon""))",,,,2019-04-24 12:21:36,2019-04-24 12:21:37,0.629s,PASSED
"deleteresponse = sendRequestAndVerify(findTestObject(""RESTAPI/DeleteCoupon""))",,,,2019-04-24 12:21:37,2019-04-24 12:21:40,3.745s,PASSED
"response = sendRequestAndVerify(findTestObject(""RESTAPI/ListCoupons""))",,,,2019-04-24 12:21:40,2019-04-24 12:21:41,0.730s,PASSED
"retreiveresponse = sendRequestAndVerify(findTestObject(""RESTAPI/RetrieveCoupon""))",,,,2019-04-24 12:21:41,2019-04-24 12:21:42,0.611s,PASSED
"verifyElementPropertyValue(response, ""data[0].object"", ""coupon"")",,,,2019-04-24 12:21:42,2019-04-24 12:21:42,0.015s,PASSED
"verifyElementPropertyValue(deleteresponse, ""deleted"", ""true"")",,,,2019-04-24 12:21:42,2019-04-24 12:21:42,0.013s,PASSED
"verifyElementPropertyValue(updateresponse, ""name"", ""updatedcoupon"")",,,,2019-04-24 12:21:42,2019-04-24 12:21:42,0.020s,PASSED
"verifyResponseStatusCode(createresponse, 200)",,,,2019-04-24 12:21:42,2019-04-24 12:21:42,0.005s,PASSED
"verifyResponseStatusCode(updateresponse, 200)",,,,2019-04-24 12:21:42,2019-04-24 12:21:42,0.000s,PASSED
"verifyResponseStatusCode(deleteresponse, 200)",,,,2019-04-24 12:21:42,2019-04-24 12:21:42,0.002s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-04-24 12:21:42,2019-04-24 12:21:42,0.001s,PASSED
,,,,,,,
Test Cases/VerifyAddingTwoNumbers,,,,2019-04-24 12:21:42,2019-04-24 12:21:43,1.096s,PASSED
"response = sendRequest(findTestObject(""Calculator/Addition""))",,,,2019-04-24 12:21:42,2019-04-24 12:21:43,0.699s,PASSED
"verifyElementText(response, ""AddResponse.AddResult"", ""11"")",,,,2019-04-24 12:21:43,2019-04-24 12:21:43,0.238s,PASSED
,,,,,,,
Test Cases/VerifyingCapitalCityforaCountryISOCode,,,,2019-04-24 12:21:43,2019-04-24 12:21:45,2.285s,PASSED
"response = sendRequest(findTestObject(""CountryInfoService/SOAP/CapitalCity""))",,,,2019-04-24 12:21:43,2019-04-24 12:21:44,0.972s,PASSED
"response = sendRequestAndVerify(findTestObject(""CountryInfoService/SOAP/CapitalCity""))",,,,2019-04-24 12:21:44,2019-04-24 12:21:45,1.130s,PASSED
"verifyElementText(response, ""CapitalCityResponse.CapitalCityResult"", ""Islamabad"")",,,,2019-04-24 12:21:45,2019-04-24 12:21:45,0.026s,PASSED
